Date,Start Time,End Time,Journey.Action,Charge,Credit,Balance,Note
09-Jan-2016,17:22,17:30,"West India Quay DLR to Devons Road DLR",.00,,29.80,""
09-Jan-2016,11:23,11:35,"Devons Road DLR to Canary Wharf DLR",.00,,29.80,""
08-Jan-2016,19:39,20:00,"Kings Cross (Met, Circle, H&C lines) to Bromley by Bow",.00,,29.80,""
08-Jan-2016,15:36,16:11,"Bromley by Bow to Kings Cross (Met, Circle, H&C lines)",.00,,29.80,""
07-Jan-2016,16:17,16:22,"Mile End to Bromley by Bow",.00,,29.80,""
07-Jan-2016,13:58,14:03,"Bromley by Bow to Mile End",.00,,29.80,""
07-Jan-2016,12:27,12:33,"Mile End to Bromley by Bow",.00,,29.80,""
07-Jan-2016,11:13,11:22,"Bromley by Bow to Stepney Green",.00,,29.80,""
07-Jan-2016,11:13,,"Auto top-up, Bromley by Bow",,20.00,29.80,""
05-Jan-2016,17:06,17:34,"London City Airport DLR to Devons Road DLR",1.70,,9.80,"You have been charged for travelling in zones not covered by your Travelcard."
